domain,category,content_type,level,id_or_title,detail
"Networking, DNS & HTTP",Foundations,lesson,Advanced,Packet Analysis,
"Networking, DNS & HTTP",Foundations,practice_lab,Advanced,networking-lab-3 — Advanced company lab,Design and validate active-active traffic routing across two application zones.
"Networking, DNS & HTTP",Foundations,company_workflow,Master,Master,"A platform architect models latency, throughput, dependencies, blast radius, and failover before approving the production topology."
"Networking, DNS & HTTP",Foundations,lesson,Master,Global Traffic Management,
"Networking, DNS & HTTP",Foundations,lesson,Master,Zero Trust Networking,
"Networking, DNS & HTTP",Foundations,lesson,Master,Capacity And Latency,
"Networking, DNS & HTTP",Foundations,lesson,Master,Failure Domains,
"Networking, DNS & HTTP",Foundations,practice_lab,Master,networking-lab-4 — Master company lab,"Create a global DNS, CDN, load-balancing, and failover design with measurable SLOs."
"Networking, DNS & HTTP",Foundations,company_ticket,Beginner,BILL-0201 — Diagnose why a client can ping a server but cannot open the web application,Diagnose why a client can ping a server but cannot open the web application. Business impact: Internal team productivity
"Networking, DNS & HTTP",Foundations,company_ticket,Intermediate,BILL-0202 — Fix a reverse-proxy outage caused by a certificate and upstream routing mismatch,Fix a reverse-proxy outage caused by a certificate and upstream routing mismatch. Business impact: Staging reliability and release flow
"Networking, DNS & HTTP",Foundations,company_ticket,Advanced,BILL-0203 — Design and validate active-active traffic routing across two application zones,Design and validate active-active traffic routing across two application zones. Business impact: Customer-facing production reliability
"Networking, DNS & HTTP",Foundations,company_ticket,Master,"BILL-0204 — Create a global DNS, CDN, load-balancing, and failover design with measurable SLOs","Create a global DNS, CDN, load-balancing, and failover design with measurable SLOs. Business impact: Enterprise platform, governance, and business continuity"
"Networking, DNS & HTTP",Foundations,production_incident,SEV-2,"INC-002 — Production degradation involving Networking, DNS & HTTP",Design and validate active-active traffic routing across two application zones. Customer impact: Customer-facing production reliability
"Networking, DNS & HTTP",Foundations,enterprise_capstone,Master,"CAP-002 — Enterprise Networking, DNS & HTTP delivery project","Design, implement, validate, secure, document, and operationalize a company-grade solution using Networking, DNS & HTTP as part of an end-to-end DevOps platform."
Git & Collaborative Development,Source Control,command_or_configuration_example,,git add .,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git bisect start,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git bundle create repo.bundle --all,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git cherry-pick SHA,
Git & Collaborative Development,Source Control,command_or_configuration_example,,"git commit -m ""feat: add health check""",
Git & Collaborative Development,Source Control,command_or_configuration_example,,git fetch --all,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git init,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git log --graph --oneline --decorate,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git mergetool,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git rebase origin/main,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git status,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git tag -a v1.0.0,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git verify-commit SHA,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git verify-tag v1.0.0,
Git & Collaborative Development,Source Control,command_or_configuration_example,,git worktree add ../hotfix hotfix,
Git & Collaborative Development,Source Control,company_workflow,Beginner,Beginner,"A developer creates a small branch, commits an atomic change, pushes it, and opens a review with test evidence."
Git & Collaborative Development,Source Control,lesson,Beginner,Repositories And Commits,
Git & Collaborative Development,Source Control,lesson,Beginner,Branches,
Git & Collaborative Development,Source Control,lesson,Beginner,Diff And Status,
Git & Collaborative Development,Source Control,lesson,Beginner,Remote Workflows,
Git & Collaborative Development,Source Control,practice_lab,Beginner,git-lab-1 — Beginner company lab,"Create a repository, commit three logical changes, and prepare a clean pull request."
Git & Collaborative Development,Source Control,company_workflow,Intermediate,Intermediate,"An engineer updates a branch, resolves conflicts, runs tests, requests review, and uses revert rather than rewriting shared history after release."
Git & Collaborative Development,Source Control,lesson,Intermediate,Merge And Rebase,
Git & Collaborative Development,Source Control,lesson,Intermediate,Conflict Resolution,
Git & Collaborative Development,Source Control,lesson,Intermediate,Tags And Releases,
Git & Collaborative Development,Source Control,lesson,Intermediate,Revert And Reset,
Git & Collaborative Development,Source Control,practice_lab,Intermediate,git-lab-2 — Intermediate company lab,Resolve a merge conflict and release a tagged version with a rollback commit.
Git & Collaborative Development,Source Control,company_workflow,Advanced,Advanced,"A senior engineer defines short-lived branches, required checks, CODEOWNERS, signed releases, and protected environments."
Git & Collaborative Development,Source Control,lesson,Advanced,Trunk-Based Development,
Git & Collaborative Development,Source Control,lesson,Advanced,Branch Protection,
Git & Collaborative Development,Source Control,lesson,Advanced,Signed Commits,
Git & Collaborative Development,Source Control,lesson,Advanced,Monorepo Strategies,
Git & Collaborative Development,Source Control,practice_lab,Advanced,git-lab-3 — Advanced company lab,Implement a governed repository workflow for an application and infrastructure repository.
Git & Collaborative Development,Source Control,company_workflow,Master,Master,"A platform lead defines organization-wide policies, release provenance, dependency controls, and migration plans with measurable adoption."
Git & Collaborative Development,Source Control,lesson,Master,Repository Governance,
Git & Collaborative Development,Source Control,lesson,Master,Release Engineering,
Git & Collaborative Development,Source Control,lesson,Master,Supply-Chain Provenance,
Git & Collaborative Development,Source Control,lesson,Master,Large-Scale Migration,
Git & Collaborative Development,Source Control,practice_lab,Master,git-lab-4 — Master company lab,"Design source-control governance for 50 teams, including exceptions, audit, and emergency changes."
Git & Collaborative Development,Source Control,company_ticket,Beginner,"BILL-0301 — Create a repository, commit three logical changes, and prepare a clean pull request","Create a repository, commit three logical changes, and prepare a clean pull request. Business impact: Internal team productivity"
Git & Collaborative Development,Source Control,company_ticket,Intermediate,BILL-0302 — Resolve a merge conflict and release a tagged version with a rollback commit,Resolve a merge conflict and release a tagged version with a rollback commit. Business impact: Staging reliability and release flow
Git & Collaborative Development,Source Control,company_ticket,Advanced,BILL-0303 — Implement a governed repository workflow for an application and infrastructure repository,Implement a governed repository workflow for an application and infrastructure repository. Business impact: Customer-facing production reliability
Git & Collaborative Development,Source Control,company_ticket,Master,"BILL-0304 — Design source-control governance for 50 teams, including exceptions, audit, and emergency changes","Design source-control governance for 50 teams, including exceptions, audit, and emergency changes. Business impact: Enterprise platform, governance, and business continuity"
Git & Collaborative Development,Source Control,production_incident,SEV-1,INC-003 — Production degradation involving Git & Collaborative Development,Implement a governed repository workflow for an application and infrastructure repository. Customer impact: Customer-facing production reliability
Git & Collaborative Development,Source Control,enterprise_capstone,Master,CAP-003 — Enterprise Git & Collaborative Development delivery project,"Design, implement, validate, secure, document, and operationalize a company-grade solution using Git & Collaborative Development as part of an end-to-end DevOps platform."
Shell Scripting,Automation,command_or_configuration_example,,awk,
Shell Scripting,Automation,command_or_configuration_example,,curl --fail --retry 3,
Shell Scripting,Automation,command_or_configuration_example,,exit 1,
Shell Scripting,Automation,command_or_configuration_example,,flock /tmp/job.lock command,
Shell Scripting,Automation,command_or_configuration_example,,"for f in *.log; do echo ""$f""; done",
Shell Scripting,Automation,command_or_configuration_example,,getopts,
Shell Scripting,Automation,command_or_configuration_example,,grep -E,
Shell Scripting,Automation,command_or_configuration_example,,if [ -f file ]; then echo ok; fi,
Shell Scripting,Automation,command_or_configuration_example,,mktemp -d,
Shell Scripting,Automation,command_or_configuration_example,,"name=""app""",
Shell Scripting,Automation,command_or_configuration_example,,set -Eeuo pipefail,
Shell Scripting,Automation,command_or_configuration_example,,sha256sum artifact,
Shell Scripting,Automation,command_or_configuration_example,,shellcheck script.sh,
Shell Scripting,Automation,command_or_configuration_example,,timeout 30 command,
Shell Scripting,Automation,command_or_configuration_example,,xargs -P 4,
Shell Scripting,Automation,company_workflow,Beginner,Beginner,A junior engineer automates a documented manual check and validates it against sample inputs before team use.
Shell Scripting,Automation,lesson,Beginner,Variables And Quoting,
Shell Scripting,Automation,lesson,Beginner,Conditions And Loops,
Shell Scripting,Automation,lesson,Beginner,Exit Codes,
Shell Scripting,Automation,lesson,Beginner,Input And Output,
Shell Scripting,Automation,practice_lab,Beginner,shell-lab-1 — Beginner company lab,"Write a script that validates a service, disk space, and required files."
Shell Scripting,Automation,company_workflow,Intermediate,Intermediate,"An engineer adds argument validation, structured logs, dry-run mode, and clear error handling before scheduling a script."
Shell Scripting,Automation,lesson,Intermediate,Functions And Arguments,
Shell Scripting,Automation,lesson,Intermediate,Strict Mode,
Shell Scripting,Automation,lesson,Intermediate,Logging,
Shell Scripting,Automation,lesson,Intermediate,Text Processing,
Shell Scripting,Automation,practice_lab,Intermediate,shell-lab-2 — Intermediate company lab,Build a safe log-rotation script with dry-run and retention settings.
Shell Scripting,Automation,company_workflow,Advanced,Advanced,"A senior engineer ensures reruns are safe, secrets are not printed, failures are isolated, and automated tests cover critical branches."
Shell Scripting,Automation,lesson,Advanced,Parallelism,
Shell Scripting,Automation,lesson,Advanced,Api Calls,
Shell Scripting,Automation,lesson,Advanced,Idempotency,
Shell Scripting,Automation,lesson,Advanced,Testing Shell Scripts,
Shell Scripting,Automation,practice_lab,Advanced,shell-lab-3 — Advanced company lab,Automate deployment validation across several hosts with bounded parallelism.
Shell Scripting,Automation,company_workflow,Master,Master,"A platform lead decides when shell is appropriate, defines libraries and review gates, and migrates complex scripts to maintainable services."
Shell Scripting,Automation,lesson,Master,Automation Standards,
Shell Scripting,Automation,lesson,Master,Cross-Platform Strategy,
Shell Scripting,Automation,lesson,Master,Security Review,
Shell Scripting,Automation,lesson,Master,Operational Ownership,
Shell Scripting,Automation,practice_lab,Master,shell-lab-4 — Master company lab,"Create an enterprise shell-automation standard with examples, controls, and migration criteria."
Shell Scripting,Automation,company_ticket,Beginner,"BILL-0401 — Write a script that validates a service, disk space, and required files","Write a script that validates a service, disk space, and required files. Business impact: Internal team productivity"
Shell Scripting,Automation,company_ticket,Intermediate,BILL-0402 — Build a safe log-rotation script with dry-run and retention settings,Build a safe log-rotation script with dry-run and retention settings. Business impact: Staging reliability and release flow
Shell Scripting,Automation,company_ticket,Advanced,BILL-0403 — Automate deployment validation across several hosts with bounded parallelism,Automate deployment validation across several hosts with bounded parallelism. Business impact: Customer-facing production reliability
Shell Scripting,Automation,company_ticket,Master,"BILL-0404 — Create an enterprise shell-automation standard with examples, controls, and migration criteria","Create an enterprise shell-automation standard with examples, controls, and migration criteria. Business impact: Enterprise platform, governance, and business continuity"
Shell Scripting,Automation,production_incident,SEV-2,INC-004 — Production degradation involving Shell Scripting,Automate deployment validation across several hosts with bounded parallelism. Customer impact: Customer-facing production reliability
Shell Scripting,Automation,enterprise_capstone,Master,CAP-004 — Enterprise Shell Scripting delivery project,"Design, implement, validate, secure, document, and operationalize a company-grade solution using Shell Scripting as part of an end-to-end DevOps platform."
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m build,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m compileall .,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m json.tool file.json,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m pip audit,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m pip check,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m pip install -r requirements.txt,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m unittest,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m unittest discover -v,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -m venv .venv,
Python for DevOps Automation,Automation,command_or_configuration_example,,python -X dev app.py,
Python for DevOps Automation,Automation,command_or_configuration_example,,python app.py,
Python for DevOps Automation,Automation,company_workflow,Beginner,Beginner,A junior engineer converts a manual report into a small script with input validation and clear errors.
Python for DevOps Automation,Automation,lesson,Beginner,Syntax And Data Structures,
Python for DevOps Automation,Automation,lesson,Beginner,Functions And Modules,
Python for DevOps Automation,Automation,lesson,Beginner,Files And Json,
Python for DevOps Automation,Automation,lesson,Beginner,Exceptions,
Python for DevOps Automation,Automation,practice_lab,Beginner,python-automation-lab-1 — Beginner company lab,"Read inventory JSON, validate hosts, and generate a deployment summary."
Python for DevOps Automation,Automation,company_workflow,Intermediate,Intermediate,"An engineer builds a CLI client, handles retries and timeouts, logs actions, and writes tests using mocked responses."
Python for DevOps Automation,Automation,lesson,Intermediate,Http Apis,
Python for DevOps Automation,Automation,lesson,Intermediate,Cli Design,
Python for DevOps Automation,Automation,lesson,Intermediate,Logging,
Python for DevOps Automation,Automation,lesson,Intermediate,Unit Testing,
Python for DevOps Automation,Automation,practice_lab,Intermediate,python-automation-lab-2 — Intermediate company lab,"Build a CLI that calls a health API, retries transient failures, and exports JSON."
Python for DevOps Automation,Automation,company_workflow,Advanced,Advanced,"A senior engineer designs safe concurrency, externalized config, secret injection, schema migrations, and release automation."
Python for DevOps Automation,Automation,lesson,Advanced,Concurrency,
Python for DevOps Automation,Automation,lesson,Advanced,Configuration And Secrets,
Python for DevOps Automation,Automation,lesson,Advanced,Packaging,
Python for DevOps Automation,Automation,lesson,Advanced,Database Access,
Python for DevOps Automation,Automation,practice_lab,Advanced,python-automation-lab-3 — Advanced company lab,Create an inventory service that checks hosts concurrently and stores auditable results.
Python for DevOps Automation,Automation,company_workflow,Master,Master,"A platform lead defines ownership, service levels, compatibility, telemetry, and security for shared automation products."
Python for DevOps Automation,Automation,lesson,Master,Internal Developer Platforms,
Python for DevOps Automation,Automation,lesson,Master,Service Reliability,
Python for DevOps Automation,Automation,lesson,Master,Api Contracts,
Python for DevOps Automation,Automation,lesson,Master,Governance,
Python for DevOps Automation,Automation,practice_lab,Master,python-automation-lab-4 — Master company lab,"Design an internal automation platform with plugins, RBAC, audit logs, and lifecycle management."
Python for DevOps Automation,Automation,company_ticket,Beginner,"BILL-0501 — Read inventory JSON, validate hosts, and generate a deployment summary","Read inventory JSON, validate hosts, and generate a deployment summary. Business impact: Internal team productivity"
Python for DevOps Automation,Automation,company_ticket,Intermediate,"BILL-0502 — Build a CLI that calls a health API, retries transient failures, and exports JSON","Build a CLI that calls a health API, retries transient failures, and exports JSON. Business impact: Staging reliability and release flow"
Python for DevOps Automation,Automation,company_ticket,Advanced,BILL-0503 — Create an inventory service that checks hosts concurrently and stores auditable results,Create an inventory service that checks hosts concurrently and stores auditable results. Business impact: Customer-facing production reliability
Python for DevOps Automation,Automation,company_ticket,Master,"BILL-0504 — Design an internal automation platform with plugins, RBAC, audit logs, and lifecycle management","Design an internal automation platform with plugins, RBAC, audit logs, and lifecycle management. Business impact: Enterprise platform, governance, and business continuity"
Python for DevOps Automation,Automation,production_incident,SEV-2,INC-005 — Production degradation involving Python for DevOps Automation,Create an inventory service that checks hosts concurrently and stores auditable results. Customer impact: Customer-facing production reliability
Python for DevOps Automation,Automation,enterprise_capstone,Master,CAP-005 — Enterprise Python for DevOps Automation delivery project,"Design, implement, validate, secure, document, and operationalize a company-grade solution using Python for DevOps Automation as part of an end-to-end DevOps platform."
Docker & Containers,Containers,command_or_configuration_example,,docker build -t app:1.0 .,
Docker & Containers,Containers,command_or_configuration_example,,"docker buildx build --platform linux/amd64,linux/arm64 .",
Docker & Containers,Containers,command_or_configuration_example,,docker compose up -d,
Docker & Containers,Containers,command_or_configuration_example,,docker diff container,
Docker & Containers,Containers,command_or_configuration_example,,docker history image,
Docker & Containers,Containers,command_or_configuration_example,,docker inspect container,
Docker & Containers,Containers,command_or_configuration_example,,docker logs container,
Docker & Containers,Containers,command_or_configuration_example,,docker manifest inspect image,
Docker & Containers,Containers,command_or_configuration_example,,docker network ls,
Docker & Containers,Containers,command_or_configuration_example,,docker ps,
Docker & Containers,Containers,command_or_configuration_example,,docker run --rm -p 8080:8080 app:1.0,
Docker & Containers,Containers,command_or_configuration_example,,docker save image -o image.tar,
Docker & Containers,Containers,command_or_configuration_example,,docker stats,
Docker & Containers,Containers,command_or_configuration_example,,docker system df,
Docker & Containers,Containers,company_workflow,Beginner,Beginner,"A developer builds an image, runs it locally, verifies health, tags it, and pushes it to an approved registry."
Docker & Containers,Containers,lesson,Beginner,Images And Containers,
Docker & Containers,Containers,lesson,Beginner,Dockerfiles,
Docker & Containers,Containers,lesson,Beginner,Ports And Volumes,
Docker & Containers,Containers,lesson,Beginner,Registries,
Docker & Containers,Containers,practice_lab,Beginner,docker-lab-1 — Beginner company lab,Containerize a small web application with a health check and persistent data.
Docker & Containers,Containers,company_workflow,Intermediate,Intermediate,"An engineer creates a smaller production image, defines dependent services, sets limits, and validates startup and shutdown behavior."
Docker & Containers,Containers,lesson,Intermediate,Multi-Stage Builds,
Docker & Containers,Containers,lesson,Intermediate,Compose,
Docker & Containers,Containers,lesson,Intermediate,Networks,
Docker & Containers,Containers,lesson,Intermediate,Resource Limits,
Docker & Containers,Containers,practice_lab,Intermediate,docker-lab-2 — Intermediate company lab,Build a multi-service development environment and troubleshoot failed service discovery.
Docker & Containers,Containers,company_workflow,Advanced,Advanced,"A senior engineer scans images, pins dependencies, runs as non-root, signs artifacts, and defines exception handling."
Docker & Containers,Containers,lesson,Advanced,Image Security,
Docker & Containers,Containers,lesson,Advanced,Rootless Execution,
Docker & Containers,Containers,lesson,Advanced,Supply Chain,
Docker & Containers,Containers,lesson,Advanced,Runtime Diagnostics,
Docker & Containers,Containers,practice_lab,Advanced,docker-lab-3 — Advanced company lab,"Harden an image, reduce size, document vulnerabilities, and prove runtime restrictions."
Docker & Containers,Containers,company_workflow,Master,Master,"A platform lead defines base images, retention, provenance, vulnerability gates, and migration from legacy workloads."
Docker & Containers,Containers,lesson,Master,Registry Governance,
Docker & Containers,Containers,lesson,Master,Platform Standards,
Docker & Containers,Containers,lesson,Master,Cost And Capacity,
Docker & Containers,Containers,lesson,Master,Migration Strategy,
Docker & Containers,Containers,practice_lab,Master,docker-lab-4 — Master company lab,Design a governed container supply chain for multiple teams and environments.
Docker & Containers,Containers,company_ticket,Beginner,BILL-0601 — Containerize a small web application with a health check and persistent data,Containerize a small web application with a health check and persistent data. Business impact: Internal team productivity
Docker & Containers,Containers,company_ticket,Intermediate,BILL-0602 — Build a multi-service development environment and troubleshoot failed service discovery,Build a multi-service development environment and troubleshoot failed service discovery. Business impact: Staging reliability and release flow
Docker & Containers,Containers,company_ticket,Advanced,"BILL-0603 — Harden an image, reduce size, document vulnerabilities, and prove runtime restrictions","Harden an image, reduce size, document vulnerabilities, and prove runtime restrictions. Business impact: Customer-facing production reliability"
Docker & Containers,Containers,company_ticket,Master,BILL-0604 — Design a governed container supply chain for multiple teams and environments,"Design a governed container supply chain for multiple teams and environments. Business impact: Enterprise platform, governance, and business continuity"
Docker & Containers,Containers,production_incident,SEV-1,INC-006 — Production degradation involving Docker & Containers,"Harden an image, reduce size, document vulnerabilities, and prove runtime restrictions. Customer impact: Customer-facing production reliability"
Docker & Containers,Containers,enterprise_capstone,Master,CAP-006 — Enterprise Docker & Containers delivery project,"Design, implement, validate, secure, document, and operationalize a company-grade solution using Docker & Containers as part of an end-to-end DevOps platform."
Kubernetes,Containers,command_or_configuration_example,,kubectl api-resources,
Kubernetes,Containers,command_or_configuration_example,,kubectl apply -f app.yaml,
Kubernetes,Containers,command_or_configuration_example,,kubectl auth can-i --list,
Kubernetes,Containers,command_or_configuration_example,,kubectl debug node/NODE -it --image=busybox,
Kubernetes,Containers,command_or_configuration_example,,kubectl describe pod POD,
Kubernetes,Containers,command_or_configuration_example,,kubectl diff -f manifests/,
Kubernetes,Containers,command_or_configuration_example,,kubectl drain NODE --ignore-daemonsets,
Kubernetes,Containers,command_or_configuration_example,,kubectl get events --sort-by=.lastTimestamp,
Kubernetes,Containers,command_or_configuration_example,,kubectl get hpa,
Kubernetes,Containers,command_or_configuration_example,,kubectl get pods -A,
Kubernetes,Containers,command_or_configuration_example,,kubectl logs POD,
Kubernetes,Containers,command_or_configuration_example,,kubectl port-forward svc/app 8080:80,
Kubernetes,Containers,command_or_configuration_example,,kubectl rollout undo deploy/app,
Kubernetes,Containers,command_or_configuration_example,,kubectl top pods,
Kubernetes,Containers,command_or_configuration_example,,kubectl wait --for=condition=available deploy/app,
Kubernetes,Containers,company_workflow,Beginner,Beginner,"A developer applies reviewed manifests to a sandbox namespace, checks rollout and logs, then documents the service endpoint."
Kubernetes,Containers,lesson,Beginner,Pods And Deployments,
Kubernetes,Containers,lesson,Beginner,Services,
Kubernetes,Containers,lesson,Beginner,Config Maps And Secrets,
Kubernetes,Containers,lesson,Beginner,Kubectl Basics,
Kubernetes,Containers,practice_lab,Beginner,kubernetes-lab-1 — Beginner company lab,"Deploy a web application with configuration, health probes, and a ClusterIP service."
Kubernetes,Containers,company_workflow,Intermediate,Intermediate,"An engineer prepares environment overlays, capacity requests, ingress, persistent storage, and rollback validation."
