Resource ID,Volume/Label,Title,Placement,Verified Primary Tool,Previously Displayed Under,Removed Cross-Listings,Rationale,Confidence
vol-14a,14A,Volume 14A - DataOps & Modern Data Platform Foundations,tool,Databases for DevOps,databases; python-automation; system-design,python-automation; system-design,"The dominant course is DataOps and modern data platforms, so it belongs under Databases for DevOps.",High
vol-14b,14B,Volume 14B - MLOps Lifecycle Engineering,tool,Python for DevOps Automation,python-automation; cicd; observability; system-design,cicd; observability; system-design,"The dominant course is MLOps lifecycle automation, placed under Python for DevOps Automation.",High
vol-14c,14C,Volume 14C - Kubeflow Ray & Distributed AI Infrastructure,tool,Kubernetes,kubernetes; python-automation; system-design,python-automation; system-design,"Kubeflow and distributed AI infrastructure are Kubernetes-centered, so the book belongs under Kubernetes.",High
vol-14d,14D,Volume 14D - Model Serving RAG Agents & LLMOps,tool,Python for DevOps Automation,python-automation; system-design; observability; databases,system-design; observability; databases,"Model serving, agents and LLMOps are automation-centric and placed under Python for DevOps Automation.",High
vol-14e,14E,Volume 14E - AI Infrastructure Operations Security Risk & FinOps,tool,DevSecOps & Supply-Chain Security,devsecops; sre; observability; system-design,sre; observability; system-design,"The dominant course is AI infrastructure security, risk and governance, so it belongs under DevSecOps.",High
vol-14f,14F,Volume 14F - AI Platform Projects Interviews & Final Capstone,tool,System Design & Platform Engineering,python-automation; kubernetes; system-design; sre,python-automation; kubernetes; sre,Corrected to System Design because it is an AI platform project/interview/capstone book rather than a Python language course.,High
vol-15a,15A,Volume 15A - DevOps Leadership Strategy & Operating Models,tool,System Design & Platform Engineering,system-design; sre,sre,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-15b,15B,Volume 15B - Enterprise DevOps Transformation,tool,System Design & Platform Engineering,system-design; sre; cicd,sre; cicd,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-15c,15C,Volume 15C - Metrics Economics Governance & Executive Scorecards,tool,"Prometheus, Grafana & Observability",observability; sre; system-design,sre; system-design,Executive metrics and scorecards are anchored under Observability; leadership context does not duplicate it elsewhere.,High
vol-15d,15D,Volume 15D - People Talent Partners & Global Engineering,tool,System Design & Platform Engineering,system-design,,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-15e,15E,Volume 15E - Enterprise Execution Resilience & Executive Operations,tool,SRE & Incident Management,sre; system-design; devsecops,system-design; devsecops,Enterprise resilience and executive operations are anchored under SRE and Incident Management.,High
vol-15f,15F,Volume 15F - Final Mastery Portfolio Simulations & Graduation Capstone,tool,System Design & Platform Engineering,system-design; sre; cicd,sre; cicd,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-1,1,Volume 1 - Linux,tool,Linux Administration,linux; networking; shell; sre,networking; shell; sre,The title and curriculum core are Linux administration; Linux mentions elsewhere do not place other books here.,High
vol-2,2,Volume 2 - Bash Scripting,tool,Shell Scripting,shell; linux; python-automation,linux; python-automation,The book is a Bash/shell scripting course. Linux and Python references are supporting context only.,High
vol-3,3,Volume 3 - Git GitHub Networking,tool,Git & Collaborative Development,git; github-actions; networking; cicd,github-actions; networking; cicd,The dominant course is Git and collaborative repository work. Networking chapters do not make it a Networking book.,High
vol-4,4,Volume 4 - Docker Containerization,tool,Docker & Containers,docker; linux; networking; devsecops,linux; networking; devsecops,"The dominant course is Docker/container engineering. Linux and networking are prerequisites, not placements.",High
vol-5,5,Volume 5 - Kubernetes,tool,Kubernetes,kubernetes; docker; networking; observability; devsecops; sre,docker; networking; observability; devsecops; sre,"The dominant course is Kubernetes. Docker, networking, security and SRE are supporting topics.",High
vol-6a,6A,Volume 6A - AWS Foundations,tool,AWS Cloud,aws,,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-6b,6B,Volume 6B - AWS Core Infrastructure,tool,AWS Cloud,aws; networking; system-design,networking; system-design,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-6c,6C,Volume 6C - AWS Data Platforms,tool,AWS Cloud,aws; databases,databases,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-6d,6D,Volume 6D - AWS Containers Serverless,tool,AWS Cloud,aws; docker; kubernetes,docker; kubernetes,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-6e,6E,Volume 6E - AWS Enterprise DevOps Security,tool,AWS Cloud,aws; cicd; devsecops; observability,cicd; devsecops; observability,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-6f,6F,Volume 6F - AWS Enterprise Projects Interviews,tool,AWS Cloud,aws; system-design; sre; cicd,system-design; sre; cicd,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-7a,7A,Volume 7A - Azure Foundations,tool,Microsoft Azure,azure,,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-7b,7B,Volume 7B - Azure Core Infrastructure,tool,Microsoft Azure,azure; networking; system-design,networking; system-design,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-7c,7C,Volume 7C - Azure Data Platforms,tool,Microsoft Azure,azure; databases,databases,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-7d,7D,Volume 7D - Azure Containers Serverless,tool,Microsoft Azure,azure; docker; kubernetes,docker; kubernetes,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-7e,7E,Volume 7E - Azure Enterprise DevOps Security,tool,Microsoft Azure,azure; cicd; devsecops; observability,cicd; devsecops; observability,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-7f,7F,Volume 7F - Azure Enterprise Projects Interviews,tool,Microsoft Azure,azure; system-design; sre; cicd,system-design; sre; cicd,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-8a,8A,Volume 8A - Google Cloud Foundations,tool,Google Cloud Platform,gcp,,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-8b,8B,Volume 8B - Google Cloud Core Infrastructure,tool,Google Cloud Platform,gcp; networking; system-design,networking; system-design,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-8c,8C,Volume 8C - Google Cloud Data Platforms,tool,Google Cloud Platform,gcp; databases,databases,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-8d,8D,Volume 8D - Google Cloud Containers Serverless,tool,Google Cloud Platform,gcp; docker; kubernetes,docker; kubernetes,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-8e,8E,Volume 8E - Google Cloud Enterprise DevOps Security,tool,Google Cloud Platform,gcp; cicd; devsecops; observability,cicd; devsecops; observability,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-8f,8F,Volume 8F - Google Cloud Enterprise Projects Interviews,tool,Google Cloud Platform,gcp; system-design; sre; cicd,system-design; sre; cicd,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-9a,9A,Volume 9A - Terraform Foundations,tool,Terraform & Infrastructure as Code,terraform; system-design,system-design,"The title, chapter sequence and dominant subject place this book under Terraform & Infrastructure as Code. Other technologies are supporting context only.",High
vol-9b,9B,Volume 9B - Advanced Terraform Engineering,tool,Terraform & Infrastructure as Code,terraform; system-design; devsecops,system-design; devsecops,"The title, chapter sequence and dominant subject place this book under Terraform & Infrastructure as Code. Other technologies are supporting context only.",High
vol-9c,9C,Volume 9C - Ansible Foundations,tool,Ansible Configuration Automation,ansible; linux,linux,"The title, chapter sequence and dominant subject place this book under Ansible Configuration Automation. Other technologies are supporting context only.",High
vol-9d,9D,Volume 9D - Advanced Ansible Engineering,tool,Ansible Configuration Automation,ansible; linux; python-automation,linux; python-automation,"The title, chapter sequence and dominant subject place this book under Ansible Configuration Automation. Other technologies are supporting context only.",High
vol-9e,9E,Volume 9E - Integrated Automation Delivery,tool,Terraform & Infrastructure as Code,terraform; ansible; cicd,ansible; cicd,This is the integrated delivery continuation of the Terraform/Ansible volume sequence; it is anchored under Terraform and not duplicated under Ansible or CI/CD.,High
vol-9f,9F,Volume 9F - Enterprise Automation Projects Interviews,tool,Terraform & Infrastructure as Code,terraform; ansible; system-design; cicd,ansible; system-design; cicd,This is the enterprise automation capstone for the Terraform-led volume sequence; it is stored once under Terraform.,High
program-final-release-handbook,Program Handbook,DevOps Master Course — Final Release Handbook (2026),program,Program Library,,,Program-wide handbook. Stored in Program Library instead of duplicating it under all 21 tools.,High
program-labs-assessments-capstone,Practice Manual,"DevOps Master Course — Hands-On Labs, Assessments and Capstone (2026)",program,Program Library,,,Cross-domain practice manual. Stored once in Program Library rather than appearing inside every tool.,High
program-progress-evidence-workbook,Progress Workbook,DevOps Master Course — Progress Tracker and Evidence Workbook (2026),program,Program Library,,,"Student program tracking workbook. Stored once in Program Library, not under any technical tool.",High
program-quality-versioning-policy,Quality Policy,"DevOps Master Course — Quality Audit, Versioning and Update Policy (2026)",program,Program Library,,,"Program governance policy. Stored once in Program Library, not under a technical tool.",High
